Company,Country,Year,Policy & Commitments Score,Governance Score,"Know, Show & Fix Score",Traceability Score,Spotlight Issues Score,Fashion Transparency Index
Quiksilver Inc,United States,2023,3.257515152,0.909,0.7142857143,0.1351351351,0,0.629988
Ralph Lauren Corporation,United States,2023,8.712128205,8.1816515,4.285619048,5.540540541,4.222204444,5.389971189
Reebok International Ltd.,United States,2023,0.6060582751,0,0.2380952381,0,0,0.1199996923
REI,United States,2023,5.378853147,3.6361515,0.7142857143,2.027027027,1.555544444,2.149995281
Reliance Trends,India,2023,4.01509324,2.727,0.4761904762,0,0.7777866667,1.009983508
Reserved,Poland,2023,6.515165501,2.727,0.7142857143,0.1351351351,2.33332,1.979985046
REVOLVE,United States,2023,0.3787785548,1.818,0.2380952381,0,0,0.1699907692
River Island,United Kingdom,2023,5.984867133,3.636,1.428547619,3.513513514,2.555555556,3.149982462
Romwe,China,2023,1.36358042,0.909,0.2380952381,0,0,0.2599886154
Ross Stores,United States,2023,1.893937063,0.909,0.7142857143,0,0.5555555556,0.6099956923
Roxy,United States,2023,3.257515152,0.909,0.7142857143,0.1351351351,0,0.629988
Russell Athletic,United States,2023,5.984892774,4.5451515,0.9523809524,4.72972973,2.222248889,3.350002112
S.Oliver,Germany,2023,8.333337995,4.5451515,6.190380952,5.810810811,0.5555555556,4.259971281
Sainsbury's,United Kingdom,2023,7.121258741,8.1816515,4.047571429,6.351351352,3.333308884,5.059982018
Saint Laurent,France,2023,9.772729604,9.0906515,5.952309524,0.9459459461,5.777855569,5.050004979
Sak's Fifth Avenue,United States,2023,3.181904429,0,0.9523809524,0.9459459459,0.2222222222,0.9400113846
Salvatore Ferragamo SpA,Italy,2023,7.272745921,7.272745921,2.380952381,2.380952381,0.1351351351,1.888875556
Sandro,France,2023,5.833382284,7.2728485,2.619,0,1.777844458,2.1700278
Savage X Fenty,United States,2023,0,0,0,0,0,0
Semir,China,2023,0,0,0,0,0,0
Shein,China,2023,1.969832168,0.909,0.2380714286,0,0.8888888889,0.6600098462
"Shimamura Co., Ltd.",Japan,2023,1.81811655,0.909,0,0,0.3333111067,0.399979383
Skechers USA Inc,United States,2023,3.409030303,1.818,0.4761904762,0.4761904762,0,0.1111111111
Smart Bazaar,India,2023,0,0,0,0,0,0
SOK S Group,Finland,2023,6.666717949,4.5451515,3.571404762,0.1351351351,1.444453333,1.444453333
Speedo International Limited,United Kingdom,2023,8.106067599,6.3636515,4.285642857,5.675675676,2.666760013,4.710023194
Splash,United Arab Emirates,2023,0,0,0,0.1351351351,0,0.04
Sports Direct,United Kingdom,2023,2.575815851,3.636,0.2380952381,0,0.4444444444,0.6999916923
Steve Madden,United States,2023,5.000041958,1.818,1.428571429,1.428571429,0,0.8888888889
Stradivarius,Spain,2023,8.939428904,9.091,5.952309524,1.081081081,5.777860013,4.98002622
Superdry plc,United Kingdom,2023,9.545456876,9.091,3.571404762,2.567567568,5.11113112,4.860007511
Takko Holding GmbH,Germany,2023,2.651568765,0,1.19047619,0.1351351351,0.3333111067,0.7099990753
Target,United States,2023,9.090911422,5.4545,2.142833333,2.972972973,2.888864444,3.719985508
Target Australia,Australia,2023,8.484855478,9.091,8.809190476,8.783783784,5.666677778,7.639952923
Tchibo GmbH,Germany,2023,7.5757669,5.4545,4.04752381,4.594594595,2.77774444,4.279971229
Ted Baker,United Kingdom,2023,6.212130536,0.909,1.428571429,2.702702703,1.888888889,2.579997231
Tezenis,Italy,2023,8.25758042,4.5453485,4.523666667,9.324324324,4.000171142,6.250033561
The North Face Inc.,United States,2023,9.015156177,6.3635,6.190333333,8.513513514,4.222215556,6.549968216
The Timberland Company,United States,2023,9.015156177,6.3635,6.190333333,8.513513514,4.222215556,6.549968216
The Very Group,United Kingdom,2023,5.833407925,3.636,1.904761905,4.054054054,0.6666666667,2.689993846
The Walt Disney Company,United States,2023,4.848538462,3.636,2.618928571,2.432432433,0.6666755556,2.199974277
TJ Maxx,United States,2023,5.075815851,2.727,1.19047619,0,0.8888888889,1.309995692
TOD'S,Italy,2023,3.712214452,0.909,1.19047619,0,0.4444533333,0.8900115077
Tom Ford International LLC,United States,2023,0.1515151515,0,0,0,0,0.02
Tom Tailor,Germany,2023,8.333337995,5.4541515,2.857095238,6.351351351,3.666684444,5.019981681
Tommy Bahama,United States,2023,3.636463869,2.727,0.9523809524,0.1351351351,0.4444444444,0.9600012308
Tommy Hilfiger Inc.,United States,2023,8.106123543,5.4541515,5.237952381,4.324324324,4.111082218,4.949956572
Topvalu,Japan,2023,5.378829837,0.909,1.666666667,0,0.7777777778,1.310001538
Tory Burch LLC,United States,2023,0.3787878788,0,0,0,0,0.05
Triumph International,Switzerland,2023,1.818282051,0.909,0.9523809524,0.8108108108,0.1111111111,0.7200092308
Truworths,South Africa,2023,2.575902098,4.5451515,0.4761904762,0,0.3333333333,0.7400057429
UGG,United States,2023,7.197009324,7.272303,4.999952381,7.432432433,3.777782222,5.669980163
Under Armour,United States,2023,5.530421911,5.4545,2.857142857,2.027027027,2.000017778,2.770020092
Under Armour,United States,2023,5.4545,2.857142857,2.027027027,2.000017778,2.770020092,3.409030303
Uniqlo Co.,Japan,2023,8.030347319,3.636,6.190333333,4.45945946,4.111093333,5.059959446
United Arrows,Japan,2023,5.909114219,2.727,2.142857143,0,1.11112,1.659994277
United Colors of Benetton,Italy,2023,8.333335664,4.5453485,6.428428571,9.324324325,6.000115582,7.300013251
Urban Outfitters,United States,2023,3.787944056,3.636,1.19047619,0,1.222188884,1.299980614
Valentino SpA,Italy,2023,3.560547786,1.818,1.42852381,2.567567568,0.5555444444,1.749972308
Van Heusen,United States,2023,0,0,0,0,0,0
Vans,United States,2023,9.015156177,6.3635,6.190333333,8.513513514,4.111104444,6.509968216
Vero Moda,Denmark,2023,6.363685315,3.6361515,4.523690476,5.27027027,2.111077773,4.079965126
Victoria's Secret,United States,2023,5.833379953,2.727,0.9523571429,2.027027027,0.6666333333,1.889978154
Walmart,United States,2023,6.96960373,2.727,3.8095,0,1.666666667,2.279971692
Warehouse Group,New Zealand,2023,6.893960373,4.5451515,1.666642857,0,0.8888888889,1.709985435
Woolworths Holdings Limited,South Africa,2023,7.424286713,7.2728485,3.095214286,1.216216216,2.111097778,2.94000238
Wrangler,United States,2023,7.651547786,8.1816515,1.428571429,4.594594595,0.8888777778,3.289992974
Youngor,China,2023,0,0,0,0,0,0
Zalando SE,Germany,2023,6.28790676,6.3631515,2.142857143,4.72972973,3.111088884,3.989974357
Zara,Spain,2023,8.939428904,9.091,5.952309524,1.081081081,5.777860013,4.98002622
Zeeman,Netherlands,2023,8.030312354,8.182,6.66652381,5.810810811,3.111133338,5.379993232
